"","Codice","Territorio","Variable","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2009","X2008","X2010"
"157","'150","Campania","DEL",3858.052171,3473.353238,3345.940927,3654.561546,3889.250844,3431.451791,3705.623055,3961.189923,4099.684034,NA,NA,NA
"158","'160","Puglia","DEL",3470.461209,3428.233542,3262.373231,3199.619268,3706.013195,3441.146842,3495.17211,3592.803044,3901.397118,NA,NA,NA
"159","'170","Basilicata","DEL",1753.867654,1671.646464,2049.341951,2014.252832,2586.484909,1786.273843,1884.209395,2146.067567,2361.420878,NA,NA,NA
"160","'180","Calabria","DEL",3066.801507,2873.085892,3111.252884,3118.136228,3537.236888,3211.903877,3498.333077,3674.183947,3892.146282,NA,NA,NA
"161","'190","Sicilia","DEL",3705.255349,3746.317261,3288.602665,3143.031858,3481.629683,3287.067945,3378.445675,3711.81274,4011.130594,NA,NA,NA
"162","'200","Sardegna","DEL",3966.418115,3705.345536,3444.713168,3353.785208,3834.018901,3315.247295,3226.580279,3324.525206,3303.820081,NA,NA,NA
"163","'001","Nord-Ovest","DEL",4875.746815,4372.685674,4343.761661,4328.883225,4770.362329,4929.752654,5244.849479,5704.309081,5950.882815,NA,NA,NA
"164","'002","Nord-Est","DEL",4168.302892,3763.605387,3771.033519,3825.524778,4370.229096,4393.758175,4566.73309,4703.620627,4990.286179,NA,NA,NA
"165","'003","Centro","DEL",4465.608389,4257.552656,4212.750701,4648.82981,4655.468673,4420.300422,4813.576248,5203.534734,5404.485031,NA,NA,NA
"166","'004","Sud","DEL",3382.960818,3189.316157,3130.621225,3258.755655,3658.639894,3323.620198,3512.58232,3699.319322,3911.000566,NA,NA,NA
"167","'005","Isole","DEL",3769.781164,3736.191518,3327.196532,3195.192226,3568.841896,3294.040321,3340.801327,3615.634293,3835.246691,NA,NA,NA
"168","'006","Italia","DEL",4170.976173,3873.72733,3797.703914,3904.218466,4265.083947,4155.914253,4400.706584,4702.103012,4940.011365,NA,NA,NA
"169","'010","Piemonte","DENS",166.3464302,166.1191332,165.8788267,166.5718202,168.10242,170.4627032,170.9178166,171.3545853,173.2614085,175.0314733,174.4937695,NA
"170","'020","Valle D'Aosta","DENS",36.42985631,36.54880354,36.63436728,37.05182579,37.39841385,37.6521494,37.99230213,38.24787634,38.60549638,39.18375602,38.93829446,NA
"171","'030","Lombardia","DENS",375.9811237,377.3272206,378.5634155,381.708978,387.4983657,393.6290796,397.0700002,400.0134519,404.0768896,411.7765308,408.2788273,NA
"172","'070","Liguria","DENS",292.8814397,291.426441,289.6558086,289.9903164,290.9636543,293.6999567,296.9877618,296.5716446,296.9302137,298.0671579,297.8970958,NA
"173","'040","Trentino Alto Adige","DENS",68.27834661,68.74498878,69.12434675,69.85430835,70.73394077,71.62680185,72.39957609,73.10326733,74.02662782,75.56945708,74.86370805,NA
"174","'021","Bolzano - Bozen","DENS",61.96610014,62.31035652,62.59579431,63.15446653,63.73514849,64.46921048,65.22367809,65.90246922,66.74531617,68.03235711,67.41383691,NA
"175","'022","Trento","DENS",75.80398557,76.41656866,76.90779616,77.84191787,79.07796162,80.16014436,80.95474391,81.68812128,82.70747072,84.55525302,83.74550903,NA
"176","'050","Veneto","DENS",243.8559519,245.1558317,246.3035622,248.7877231,252.3472391,255.4480307,257.5331067,259.4484981,262.6435891,266.9970134,265.535509,NA
"177","'060","Friuli Venezia Giulia","DENS",150.0045194,150.380969,150.6530915,151.6325863,152.4723258,153.303412,153.756431,154.306671,155.5103526,157.0396735,156.6397188,NA
"178","'080","Emilia Romagna","DENS",178.3340746,179.2849927,180.1071189,182.2199234,184.4923033,187.6974808,189.3336631,190.9480977,193.323519,197.9186918,196.1347522,NA
